Income tax dept unearths cartel converting black money into white,Livemint,15 hours ago,http://www.livemint.com/Politics/FYL9RD3q0lDRATo4S5HQyO/Income-tax-dept-crack-down-on-cartel-converting-black-money.html,On the other hand  the mediator would look for customers who want to legalize their black money. In another instance in Nagpur  Rs4.25 crore of funds were ...
Subir Roy: Now  hit black money in politics,Business Standard,29 Nov 2016,http://www.business-standard.com/article/opinion/subir-roy-now-hit-black-money-in-politics-116112901391_1.html,Subir Roy The litmus test that the attack on black money has now to face is to initiate measures to curb its further generation  not just not stop at destroying its ...
GST will curb corruption and black money  says PM Modi in Lok Sabha,Hindustan Times,8 Aug 2016,http://www.hindustantimes.com/india-news/parliament-live-monsoon-session-enters-its-fourth-week/story-D3mLvIrw0AVJm2ynezHizM.html,The Lok Sabha debated on Monday the GST bill  which was passed by the Rajya Sabha last week for ushering in the landmark goods and services tax (GST).
PM Narendra Modi should apologise for fooling people on black ...,Firstpost,6 Sep 2016,http://www.firstpost.com/politics/pm-narendra-modi-should-apologise-for-fooling-people-on-black-money-issue-congress-2991616.html,He gave credit to the efforts made by the erstwhile UPA for whatever success the NDA government has achieved in the last two years to unearth black money.
Demonetisation: How ERP software can help curb black money,Firstpost,28 Nov 2016,http://tech.firstpost.com/news-analysis/demonetisation-how-erp-software-can-help-curb-black-money-350134.html,There is a raging debate in the country on black money. In order to counter and curb it  the government banned Rs 500 and Rs 2000 notes  which is causing ...
Black money: Despite Centre's warning  misuse of Jan Dhan ...,Financial Express,28 Nov 2016,http://www.financialexpress.com/industry/banking-finance/black-money-despite-centres-warning-misuse-of-jan-dhan-accounts-rampant/458779/,Deposits in Jan Dhan accounts are surging relentlessly. In just 14 days — between November 10 and 23 — Rs 27 197 crore was added to these accounts  ...
Cong poses 'black money' questions,Calcutta Telegraph,11 Nov 2016,http://www.telegraphindia.com/1161112/jsp/nation/story_118817.jsp,"Nobody is opposed to the fight against black money and if the government is serious  it should answer some questions." The questions: • Is it true some people ...
Gods Get Richer as Black Money Hopes for Rebirth Through Temple ...,News18,10 Nov 2016,http://www.news18.com/news/india/gods-get-richer-as-blackmoney-hopes-for-rebirth-through-temple-hundis-1310898.html,The temples managed by the private persons are also being used to convert substantial amount of black money into white. The managements offer to return ...
PM Modi does a Vajpayee  launches 'N-strike' on Black Money,Daily News & Analysis,8 Nov 2016,http://www.dnaindia.com/money/report-pm-modi-does-a-vajpayee-launches-n-strike-on-black-money-2271564,Prime Minister Narendra Modi's 'surgical strike' on black money — the scrapping of Rs 500 and Rs 1 000 notes — was kept a highly guarded secret  to the ...
I-T department using electronic surveillance and phone tapping to ...,The New Indian Express,2 Dec 2016,http://www.newindianexpress.com/nation/2016/dec/03/i-t-department-using-electronic-surveillance-and-phone-tapping-to-detect-black-money-1545169.html,8 urging the director-general (investigation) in the states to step up electronic vigilance on hawala operators and black money dealers. Related Article.
Rs 2000-cr black money in govt net,Deccan Herald,6 Dec 2016,http://www.deccanherald.com/content/585271/rs-2000-cr-black-money.html,Taxpayers have admitted to Rs 2 000 crore in undisclosed income during tax investigations after demonetisation  the government said on Tuesday. The finance ...
Govt aims to generate Rs 1.3 lakh cr froml black-money-disclosure ...,Business Standard,5 Dec 2016,http://www.business-standard.com/article/economy-policy/govt-aims-to-generate-rs-1-3-lakh-cr-froml-black-money-disclosure-scheme-116120501395_1.html,The government expects this financial year's second and the final black-money-disclosure scheme to get twice the amount declared under the previous ...
Black Money Probe Panel Meets To Review Panama Papers ...,NDTV,26 Apr 2016,http://www.ndtv.com/india-news/black-money-probe-panel-meets-to-review-panama-papers-money-laundering-cases-1399723,New Delhi: The Special Investigation Team (SIT) on black money today held a meeting and reviewed some important tax evasion and money laundering probe ...
Rs 500  Rs 1000 ban: Salman Khan salutes PM Modi's move ...,Firstpost,14 Nov 2016,http://www.firstpost.com/bollywood/rs-500-rs-1000-ban-salman-khan-salutes-pm-modis-move-against-black-money-3102958.html,Prime Minister Narendra Modi's decision to abolish Rs 500 and Rs 1 000 rupee notes to curb the flow of black money has been lauded and appreciated by one ...
Everyone carrying Rs 500  1000 notes is not black money hoarder ...,Business Standard,15 Nov 2016,http://www.business-standard.com/article/economy-policy/everyone-carrying-rs-500-1000-notes-is-not-black-money-hoarder-sc-to-govt-116111500928_1.html,Senior counsel Kapil Sibal said  “We are with the government incurbing the black money  but the inconvenience it is causing to the public is jeopardising their ...
Budget 2016: Mr Jaitley  when the weak state offers asylum to black ...,Firstpost,1 Mar 2016,http://www.firstpost.com/india/budget-2016-mr-jaitely-when-the-weak-state-offers-asylum-to-the-black-money-holder-its-the-honest-taxpayer-who-feels-dejected-2650052.html,What is common between an amnesty-like scheme announced by governments for black money holders and a state-sponsored farm loan waiver for borrowers?
PM Modi Says A Cash Less Society Essential To Curb Black Money,NDTV,22 May 2016,http://www.ndtv.com/india-news/pm-modi-says-a-cash-less-society-essential-to-curb-black-money-1408826,New Delhi: Renewing calls for India to move towards a "cashless society"  Prime Minister Narendra Modi today said this was essential to curb black money in the ...
76% of old notes already back in banks. Did govt miscalculate black ...,Catch News,3 Dec 2016,http://www.catchnews.com/india-news/76-of-old-notes-already-back-in-banks-did-govt-get-its-calculations-wrong-1480774314.html,The government had hoped to unearth Rs 3 lakh crore to Rs 4.8 lakh crore of black money through demonetisation. Data released by various sources had ...
IDS 2016: Will black money declarants get away with a 31% tax rate ...,Moneylife,12 Jul 2016,http://www.moneylife.in/article/ids-2016-will-black-money-declarants-get-away-with-a-31-percentage-tax-rate-instead-of-45-percentage/47470.html,Could this be from black money or should it be from white money only? Common sense  dictates that it should be from white money. However  IDS rules and ...
Demonetisation: BJP  Congress clash in Rajya Sabha over Ghulam ...,Zee News,17 Nov 2016,http://zeenews.india.com/news/india/demonetisation-bjp-congress-clash-in-rajya-sabha-over-ghulam-nabi-azads-uri-remark_1950931.html,... country that Congress was sympathetic to terrorism and asked why was it so agitated when the demonetisation drive was only to hurt black money hoarders.
Black Money  Multiple Demonetisation Spinoffs  Disastrous Prospects,CounterCurrents.org,16 Nov 2016,http://www.countercurrents.org/2016/11/17/black-money-multiple-demonetisation-spinoffs-disastrous-prospects/,Though getting rid of black money is something which is BADLY NEEDED  to begin with the common populace with large amounts of black money don't hold it ...
This Surat businessman declare Rs 2500 cr black money in style,The Siasat Daily,5 Oct 2016,http://www.siasat.com/news/surat-businessman-declare-rs-2500-cr-black-money-style-1034856/,Despite a confidentiality clause  one businessman even put up a poster outside his office flaunting the amount of black money he had declared until the I-T ...
Rajinikanth  other stars laud Modi's move to eradicate black money,Deccan Chronicle,8 Nov 2016,http://www.deccanchronicle.com/entertainment/bollywood/091116/rajinikanth-other-stars-laud-modis-move-to-eradicate-black-money.html,Rajinikanth  other stars laud Modi's move to eradicate black money ... declared the notes of Rs. 500 and 1000 illegal from Wednesday to weed out black money.
Gujarats old bag of tricks to turn black money into white comes into ...,Catch News,10 Nov 2016,http://www.catchnews.com/india-news/gujarat-s-old-bag-of-tricks-to-turn-black-money-into-white-comes-into-play-1478787460.html,If necessity is the mother of invention  the people of Gujarat proved it once again in letter and spirit very soon after Prime Minister Narendra Modi announced the ...
Why Modi's bold move on black money may not eliminate black money,Business Standard,9 Nov 2016,http://www.business-standard.com/article/economy-policy/why-modi-s-bold-move-on-black-money-may-not-eliminate-black-money-116110900491_1.html,There seems to be a strategy and plan at work to tackle the black money menace. However  it is debatable if the move would eliminate the generation of black ...
India can no longer live with black money: Jaitley,Chandigarh Tribune,16 Nov 2016,http://www.tribuneindia.com/news/nation/india-can-no-longer-live-with-black-money-jaitley/324044.html,As debate on demonetisation rages on across the nation  Finance Minister Arun Jaitley has changed his facebook cover photo which states that India can no ...
Black money case: Banapuram Laxman Rao was in heavy debt,Deccan Chronicle,7 Dec 2016,http://www.deccanchronicle.com/nation/current-affairs/081216/black-money-case-banapuram-laxman-rao-was-in-heavy-debt.html,Black money case: Banapuram Laxman Rao was in heavy debt ... the case of Banapuram Laxman Rao who disclosed Rs 9 800 crore in black money under the ...
Bitcoins may gain ground as govt fights black money,Hindustan Times,11 Nov 2016,http://www.hindustantimes.com/business-news/bitcoins-may-gain-ground-as-govt-fights-black-money/story-8eVzxnr2jGqAog7iZkP1YP.html,Those who possess bitcoins in India feel the government's drive against black money will help the paperless  bank-less  and state-less currency gain ground.
Capt Amarinder Singh: SAD to convert Rs 1000 crore black money ...,India Today,17 Nov 2016,http://indiatoday.intoday.in/story/capt-amarinder-singh-sad-rs-1-000-crore-black-money-gurudwara-chadawa/1/813572.html,Captain Amarinder Singh has alleged that the Shiromani Akali Dal will convert Rs 1 000 crore black money calling it a chadawa  cash offering in gurudwaras.
Rs 500  Rs 1000 notes banned: One day exchange window would ...,Firstpost,10 Nov 2016,http://www.firstpost.com/india/rs-500-rs-1000-notes-banned-one-day-exchange-window-would-have-stumped-black-money-holders-3100620.html,To wit  a crook having Rs 1 crore of black money would not mind engaging the services of 2500 persons  may be his present employees or fawning friends  for ...
War on black money | 'Well done Mr Modi  farmers  shopkeepers ...,Daily News & Analysis,9 Nov 2016,http://www.dnaindia.com/india/report-war-on-black-money-well-done-mr-modi-farmers-shopkeepers-thrown-into-utter-chaos-rahul-gandhi-2271748,Real culprits sit tight on their black money stashed abroad or in bullion/real estate. Well done  Mr. Modi " said Rahul Gandhi. "Question for PM: How is replacing ...
Black money disclosure window offers no absolution  to yield little ...,Zee News,27 Sep 2016,http://zeenews.india.com/business/news/economy/black-money-disclosure-window-offers-no-absolution-to-yield-little-cash-for-govt_1934234.html,New Delhi: The Indian government has sent out about 700 000 notices to suspected tax evaders to coax them to declare hidden income and assets  promising ...
Dear Mr Modi  rename Pakistan  black money & inflation. Problem ...,Catch News,21 Sep 2016,http://www.catchnews.com/politics-news/dear-mr-modi-rename-pakistan-black-money-inflation-problem-solved-1474464782.html,The BJP wants to become the Congress. It wants a "Congress-mukt Bharat". It wants to be in power all over the country just like the Congress was till the 1970s.
Demonetisation Doesn't Address Black Money Problem: Yechury,News18,9 Nov 2016,http://www.news18.com/news/politics/demonetisation-doesnt-address-black-money-problem-yechury-1310211.html,Questioning the prime minister on his resolve to stop generation of Black Money  fighting corruption  checking the menance of Fake Indian currency notes and ...
To tackle black money  I would have arrested top corrupt netas ...,India Today,7 Dec 2016,http://indiatoday.intoday.in/story/arvind-kejriwal-agenda-aaj-tak-demonetisation-pm-modi-black-money-corruption-bjp-gadkari/1/829469.html,The chief minister of Delhi said he would tell people that demonetisation was a scam to the tune of Rs 8 lakh crore aimed at benefiting PM Modi's high-profile ...
Black money hunt: CBI raids ticket counters at Bhopal  Habibganj ...,Times of India,14 hours ago,http://timesofindia.indiatimes.com/city/bhopal/Black-money-hunt-CBI-raids-ticket-counters-at-Bhopal-Habibganj-stations/articleshow/55885437.cms,BHOPAL: A Central Bureau of Investigation (CBI) team along with the chief vigilance officer of West Central Railway (WCR) launched a surprise check at Bhopal ...
Biggest crackdown on black money: Tax officials seize Rs 105 crore ...,Businessinsider India,9 hours ago,http://www.businessinsider.in/Biggest-crackdown-on-black-money-Tax-officials-seize-Rs-105-crore-in-new-and-old-currencies-125kg-gold-in-Chennai-Vellore/articleshow/55889813.cms,Income Tax officials raided eight premises in Chennai and one place in Vellore and seized Rs 105 crore in old and new currencies and gold bars worth Rs 35 ...
Of bankers with fingers in the till,The Hindu,18 hours ago,http://www.thehindu.com/news/national/Of-bankers-with-fingers-in-the-till/article16780250.ece,Two officials of a private bank in Delhi were recently arrested in connection with a money-laundering investigation. | Photo Credit: Sushil Kumar Verma.
Black money case: Tantriks failed me  says Banapuram Laxman Rao,Deccan Chronicle,13 hours ago,http://www.deccanchronicle.com/nation/current-affairs/081216/black-money-case-tantriks-failed-me-says-banapuram-laxman-rao.html,Black money case: Tantriks failed me  says Banapuram Laxman Rao. DECCAN CHRONICLE. Published Dec 8  2016  2:27 am IST. Updated Dec 8  2016  2:55 ...
Airport flight ticket sales under govt scanner for black money,Livemint,16 hours ago,http://www.livemint.com/Companies/rTpWDPwFw9Nv8Nu9R86k5M/Airport-ticket-sales-under-govt-scanner.html,New Delhi: The civil aviation ministry has warned airlines  which were allowed to temporarily accept banned banknotes  that it will investigate unusually high ...
Time to Get Real About Foreign Money and Black Money in Politics,The Wire,11 hours ago,http://thewire.in/85646/time-get-real-foreign-money-black-money-politics/,When a government which says it wants to remove black money tries to defend acceptance of foreign money by political parties and opposes transparency of ...
Rs 12 Lakh Crore Already in Bank  Says AG. Black Money Math ...,News18,22 minutes ago,http://www.news18.com/news/india/rs-12-lakh-crore-already-in-bank-says-ag-black-money-math-gone-wrong-1321263.html,What this means is that the government's calculations on the amount of black money in the economy may have gone awry. The calculation may have been that a ...
Modi is Arjun  Shah Krishna in BJP posters on black money war,Times of India,7 Dec 2016,http://timesofindia.indiatimes.com/city/agra/Modi-is-Arjun-Shah-Krishna-in-BJP-posters-on-black-money-war/articleshow/55859510.cms,Agra: Going by BJP posters which have come up across Agra  in the “war” against terror and black money  Prime Minister Narendra Modi is the new Arjuna  ...
Demonetization decision not hasty step; inevitable to curb fake ...,The Siasat Daily,7 Dec 2016,http://www.siasat.com/news/demonetization-decision-not-hasty-step-inevitable-curb-fake-currency-black-money-terrorism-rbi-1081664/,... Urjit Patel strongly felt that the demonetization decision was unavoidable to eliminate counterfeit currency  flush out black money and to curb terrorist activities ...
Income Tax Employees Write To PM Modi Amid Huge Workload ...,NDTV,5 hours ago,http://profit.ndtv.com/news/economy/article-income-tax-employees-write-to-pm-modi-amid-huge-workload-after-note-ban-1635983,New Delhi: With the I-T department facing a huge volume of black money cases post-demonetisation  two associations of its employees have written to Prime ...
No black money in cooperative banks  says Kerala CM,Business Standard,30 Nov 2016,http://www.business-standard.com/article/news-ians/no-black-money-in-cooperative-banks-says-kerala-cm-116113001137_1.html,Kerala Chief Minister Pinarayi Vijayan on Wednesday said that there is "no black money in cooperative banks" and everything was according to rules and ...
Farm income can't be 'escape route' for black money: Par panel,Moneycontrol.com,7 Dec 2016,http://www.moneycontrol.com/news/economy/farm-income-cant-be-escape-route-for-black-money-par-panel_8082261.html,It said farm income should not become an escape route for unaccounted money holders in the wake of recent demonetisation action on old Rs 500/1 000 notes ...
Foolish move  PM Modi running from one narrative to another: Rahul ...,The Indian Express,20 hours ago,http://indianexpress.com/article/india/demonetisation-foolish-move-narendra-modi-rahul-gandhi-black-money-4417707/,About the prime minister's narrative  Rahul said  “He started off by saying I am against black money… A huge amount of black money was supposed to be ...
Union Ministers have black money,The Hans India,14 hours ago,http://www.thehansindia.com/posts/index/Telangana/2016-12-09/Union-Ministers-have-black-money/267877,​Hyderabad: Alleging that many Union Cabinet Ministers were black money holders  former MP Ponnam Prabhakar has dared Union Information ...
Gurgaon: Banks turn bunkers for the 'war against black money',Hindustan Times,20 hours ago,http://m.hindustantimes.com/gurgaon/gurgaon-banks-turn-bunkers-for-the-war-against-black-money/story-lhMgA3OIoEUpdrfbG2eARL.html,Gurgaon: Banks turn bunkers for the 'war against black money'. gurgaon Updated: Dec 09  2016 01:45 IST. Rashpal Singh Hindustan Times. Highlight Story ...
Over Rs 1.75 crores  in new currency  seized in raids at different ...,The Indian Express,7 Dec 2016,http://indianexpress.com/article/india/over-rs-1-75-crores-in-new-currency-seized-in-raids-at-different-places/,currency  black money Goa Police seized Rs.1.5 crores in new currency notes during raids in Ponda and Porvorim. Over Rs 1.75 crore were seized and eight ...
Govt's fight against black money continues,Doordarshan,12 hours ago,http://www.ddinews.gov.in/National/National%20-%20Top%20Story/Pages/EDraidsfifetybanksacrossthecountry.aspx,Govt's fight against black money continues in full swing; Income Tax investigators in Chennai seize 90 crore rupees of which 70 crores is new notes; 100 kilos ...
Income Tax Dept busts innovative methods of converting black ...,Knn India,9 hours ago,http://knnindia.co.in/news/newsdetails/sectors/income-tax-dept-busts-innovative-methods-of-converting-black-money-into-white,Income Tax Dept busts innovative methods of converting black money into white. New Delhi  Dec 9 (KNN) The Income Tax Department has successfully nabbed ...
Thirty days of demonetisation: Future reforms must take into account ...,Firstpost,7 Dec 2016,http://www.firstpost.com/business/demonetisation-future-reforms-must-take-into-account-mans-nature-3145478.html,The present black money imbroglio reminds me of a meeting I once had with an astute and wise senior citizen in one of the smaller towns of India — someone ...
Black money: ED and DRI to act against companies claiming duty ...,Daily News & Analysis,21 Jul 2016,http://www.dnaindia.com/money/report-black-money-ed-and-dri-to-act-against-companies-claiming-duty-drawback-without-exports-2236717,Snippet not available
AIADMK name crops up in IT seizure of Rs 90 crore in Chennai,The Indian Express,16 hours ago,http://indianexpress.com/article/india/demonetisation-black-money-aiadmk-name-crops-up-in-i-t-seizure-of-rs-90-crore-in-chennai/,Snippet not available
